股票代號,股票名稱,收盤價,月平均價
"030129","裕隆元大29購02","4.28","4.65"
"03012P","奇鋐元大23售07","","0.22"
"03012X","元展12","14.50","15.46"
"030130","裕隆元大2A購01","4.04","4.32"
"030131","為升元大25購02","","1.08"
"030132","華通元大25購03","1.13","1.37"
"030133","鴻海元大2B購04","1.42","1.51"
"030134","國巨元大25購07","1.78","1.99"
"030135","台積電元大29購28","","1.32"
"030136","台積電元大2A購22","1.18","1.32"
"030137","台積電元大2B購09","1.21","1.35"
"030138","威盛元大25購08","1.31","1.64"
"030139","長榮元大2B購02","2.33","2.22"
"03013P","康普元大25售01","0.87","0.82"
"03013X","元展13","","16.87"
"030140","慧洋元大25購05","","1.53"
"030141","大立光元大25購10","","0.92"
"030142","大立光元大29購05","","1.14"
"030143","大立光元大2A購02","","1.02"
"030144","智原元大25購04","","1.40"
"030145","欣興元大2B購03","1.26","1.62"
"030146","台勝科元大25購03","0.95","1.12"
"030147","瑞鼎元大25購03","1.36","1.31"
"030148","祥碩元大25購07","1.17","1.35"
"030149","祥碩元大29購01","1.43","1.55"
"03014P","祥碩元大23售05","1.56","1.54"
"03014X","元展14","","35.70"
"030150","祥碩元大2A購03","1.51","1.64"
"030151","聯茂元大25購03","1.62","1.80"
"030152","聯茂元大2A購01","","1.84"
"030153","晶心科元大25購03","0.92","0.96"
"030154","緯穎元大25購10","1.10","1.39"
"030155","力智元大27購01","","1.74"
"030156","南電元大2B購04","0.76","0.99"
"030157","元黃金富邦28購01","1.18","1.18"
"030158","道瓊反富邦25購02","","0.56"
"030159","台積電富邦26購09","1.04","1.25"
"03015P","愛普元大25售01","","0.30"
"030160","旺宏富邦28購01","0.84","0.86"
"030161","微星富邦28購01","0.61","0.59"
"030162","潤泰全富邦26購01","0.99","1.12"
"030163","瑞鼎富邦25購01","0.42","0.44"
"030164","滬深2X群益27購04","","1.48"
"030165","NASDAQ群益25購02","1.44","1.74"
"030166","臺指反群益27購01","0.57","0.52"
"030167","FBNQ反群益27購02","0.89","0.82"
"030168","第一銅群益25購03","1.37","1.71"
"030169","中華群益25購01","3.09","4.13"
"03016P","力積電元大23售12","0.56","0.60"
"030170","鴻海群益26購01","0.65","0.78"
"030171","鴻海群益26購02","0.58","0.72"
"030172","台積電群益27購09","1.25","2.10"
"030173","台積電群益27購10","","3.45"
"030174","台積電群益28購03","1.35","2.48"
"030175","華航群益25購02","2.10","2.27"
"030176","華航群益25購03","1.49","1.59"
"030177","萬海群益25購03","1.21","0.91"
"030178","萬海群益25購04","2.40","1.89"
"030179","萬海群益25購05","2.79","2.54"
"03017P","南電元大23售28","","0.31"
"03017X","元展17","8.35","8.97"
"030180","慧洋群益26購01","1.16","1.11"
"030181","大立光群益25購10","","2.19"
"030182","智原群益25購03","1.30","1.79"
"030183","晶心科群益27購01","0.71","0.68"
"030184","晶心科群益29購01","0.57","0.56"
"030185","威鋒電群益27購03","1.00","1.57"
"030186","志強群益25購01","1.40","2.04"
"030187","AES群益27購01","1.58","2.07"
"030188","臺指反國票27購01","0.65","0.62"
"03018P","臺股指法興23售05","2.50","2.31"
"030190","美指2X國票27購01","","0.61"
"030191","義隆國票26購01","","1.51"
"030192","怡利電國票27購01","","1.80"
"030193","王品國票26購02","","1.93"
"030194","晶豪科國票26購01","","0.98"
"030195","揚明光國票26購03","","3.13"
"030196","華擎國票26購03","2.31","2.21"
"030197","上緯控國票26購01","0.80","1.02"
"030198","天鈺國票25購02","0.95","1.04"
"030199","天鈺國票26購01","0.97","1.09"
"03019P","長榮元大24售33","0.92","1.10"
"03019X","元展19","","10.90"
"030200","中興電統一27購02","1.42","1.39"
"030201","晶豪科統一27購01","","0.54"
"030202","玉晶光統一28購01","0.56","0.67"
"030203","台積電兆豐27購06","","1.03"
"030204","祥碩兆豐25購01","","1.16"
"030205","中砂康和25購01","0.68","0.99"
"030206","玉晶光康和25購01","0.56","0.88"
"030207","中興電永豐26購01","3.31","3.19"
"030208","裕隆永豐25購01","1.80","2.04"
"030209","愛普永豐26購02","0.74","1.05"
"03020P","臺股指法興23售06","2.30","2.03"
"030210","富鼎永豐26購01","1.04","1.23"
"030211","裕隆元富25購03","2.51","2.85"
"030212","旺宏元富26購02","1.41","1.41"
"030213","瑞鼎元富25購01","0.78","0.82"
"030214","瑞鼎元富25購02","","1.52"
"030215","祥碩元富27購02","1.01","1.17"
"030216","GIS元富28購01","1.31","1.25"
"030217","台積電麥證25購09","1.06","1.45"
"030218","台積電麥證25購10","","2.45"
"030219","台積電麥證25購11","","1.01"
"03021P","臺股指法興23售07","1.24","1.10"
"030220","台積電麥證26購08","0.62","0.84"
"030221","美食麥證27購01","","2.37"
"030222","王品麥證25購01","1.19","1.33"
"030223","智原麥證25購01","1.20","1.47"
"030224","滬深2X凱基27購02","","2.23"
"030225","中砂凱基25購04","1.00","1.36"
"030226","中鴻凱基27購01","1.50","1.28"
"030227","裕隆凱基27購02","2.88","3.25"
"030228","為升凱基27購01","1.12","1.23"
"030229","鴻海凱基29購02","1.04","1.23"
"03022P","陽明元大24售15","0.86","1.07"
"03022X","富展01","26.40","27.10"
"030230","旺宏凱基25購03","1.22","1.22"
"030231","光罩凱基25購03","3.61","4.06"
"030232","建準凱基25購03","1.83","1.98"
"030233","義隆凱基25購01","","1.79"
"030234","怡利電凱基26購01","1.78","2.38"
"030235","怡利電凱基28購02","1.20","1.62"
"030236","漢翔凱基25購01","2.08","2.35"
"030237","材料凱基26購02","1.51","1.53"
"030238","祥碩凱基27購02","1.03","1.21"
"030239","啟碁凱基25購04","1.27","2.19"
"03023P","臺股指法興23售08","3.65","3.19"
"030240","穎崴凱基25購01","3.82","5.74"
"030241","台灣50元大28購04","1.01","1.42"
"030242","台灣50元大28購05","1.22","1.35"
"030243","台灣50元大28購06","","1.37"
"030244","台灣50元大29購01","1.16","1.54"
"030245","台灣50元大29購02","1.46","1.77"
"030246","滬深2X元大28購02","","2.60"
"030247","滬深2X元大29購01","2.64","2.58"
"030248","道瓊銀元大28購01","1.06","1.09"
"030249","中砂元大25購05","","1.25"
"03024P","臺股指法興23售09","4.33","4.04"
"030250","華新元大29購03","2.39","2.57"
"030251","華新元大2A購06","2.37","2.59"
"030252","華新元大2B購02","2.53","2.73"
"030253","大成鋼元大25購02","2.18","2.50"
"030254","華通元大25購04","1.63","1.95"
"030255","台積電元大29購29","","1.43"
"030256","台積電元大2A購23","0.94","1.08"
"030257","台積電元大2B購10","","1.22"
"030258","技嘉元大25購06","0.35","0.46"
"030259","義隆元大25購01","1.58","1.74"
"030260","義隆元大2A購01","","1.89"
"030261","宏達電元大25購12","","2.27"
"030262","晶豪科元大25購02","","1.41"
"030263","晶豪科元大25購03","1.07","1.23"
"030264","大立光元大29購06","1.23","1.22"
"030265","大立光元大2A購03","0.95","0.92"
"030266","大立光元大2B購02","1.11","1.11"
"030267","智原元大2B購01","1.47","1.63"
"030268","瑞鼎元大25購04","1.51","1.57"
"030269","致伸元大25購06","0.82","0.97"
"03026P","鴻海富邦23售03","0.77","0.74"
"03026X","元展23","","4.70"
"030270","新唐元大25購03","0.81","0.88"
"030271","元晶元大25購05","1.28","1.40"
"030272","愛普元大25購06","","0.65"
"030273","威鋒電元大25購04","","1.59"
"030274","振樺電元大25購02","","0.89"
"030275","裕隆中信25購01","1.08","1.21"
"030276","愛普中信28購02","","0.35"
"030277","聯發科國泰27購02","0.53","0.91"
"030278","聯發科國泰27購03","0.86","1.56"
"030279","長榮國泰27購04","1.65","1.50"
"03027P","大立光富邦28售02","0.48","0.48"
"03027X","元展24","","8.78"
